GENERO,CONCLUINTES QUE TRABALHAVAM OU JA TRABALHARAM AREA,CONCLUINTES QUE NUNCA TRABALHARAM NA AREA,NAO CONCLUINTES
FEMININO,283000,186000,54000
MASCULINO,421000,133000,126000
